member_id,member_name,member_begin_date,congress,chamber,committee_id,subcommittee_id
T000476,Thom Tillis,,116,senate,SSAS,SSAS14
W000817,Elizabeth Warren,,116,senate,SSAS,SSAS14
S001198,Dan Sullivan,,116,senate,SSAS,SSAS14
P000595,Gary Peters,,116,senate,SSAS,SSAS14
I000024,James M. Inhofe,,116,senate,SSAS,SSAS14
D000622,Tammy Duckworth,,116,senate,SSAS,SSAS14
R000122,Jack Reed,,116,senate,SSAS,SSAS14
S001217,Rick Scott,,116,senate,SSAS,SSAS14
S001198,Dan Sullivan,,116,senate,SSAS,SSAS15
K000384,Tim Kaine,,116,senate,SSAS,SSAS15
F000463,Deb Fischer,,116,senate,SSAS,SSAS15
S001181,Jeanne Shaheen,,116,senate,SSAS,SSAS15
P000612,David Perdue,,116,senate,SSAS,SSAS15
D000622,Tammy Duckworth,,116,senate,SSAS,SSAS15
R000122,Jack Reed,,116,senate,SSAS,SSAS15
I000024,James M. Inhofe,,116,senate,SSAS,SSAS15
R000605,Mike Rounds,,116,senate,SSAS,SSAS21
M001183,Joe Manchin III,,116,senate,SSAS,SSAS21
W000437,Roger Wicker,,116,senate,SSAS,SSAS21
P000612,David Perdue,,116,senate,SSAS,SSAS21
B001277,Richard Blumenthal,,116,senate,SSAS,SSAS21
S001217,Rick Scott,,116,senate,SSAS,SSAS21
R000122,Jack Reed,,116,senate,SSAS,SSAS21
I000024,James M. Inhofe,,116,senate,SSAS,SSAS21
T000461,Patrick J. Toomey,2019-01-18,116,senate,SSBK,SSBK04
V000128,Chris Van Hollen,2019-01-18,116,senate,SSBK,SSBK04
S000320,Richard C. Shelby,2019-01-18,116,senate,SSBK,SSBK04
R000122,Jack Reed,2019-01-18,116,senate,SSBK,SSBK04
W000805,Mark Warner,2019-01-18,116,senate,SSBK,SSBK04
R000605,Mike Rounds,2019-01-18,116,senate,SSBK,SSBK04
W000817,Elizabeth Warren,2019-01-18,116,senate,SSBK,SSBK04
P000612,David Perdue,2019-01-18,116,senate,SSBK,SSBK04
S001203,Tina Smith,2019-01-18,116,senate,SSBK,SSBK04
T000476,Thom Tillis,2019-01-18,116,senate,SSBK,SSBK04
K000393,John Kennedy,2019-01-18,116,senate,SSBK,SSBK04
C000880,Michael D. Crapo,2019-01-18,116,senate,SSBK,SSBK04
P000612,David Perdue,2019-01-18,116,senate,SSBK,SSBK09
S000320,Richard C. Shelby,2019-01-18,116,senate,SSBK,SSBK09
R000122,Jack Reed,2019-01-18,116,senate,SSBK,SSBK09
W000817,Elizabeth Warren,2019-01-18,116,senate,SSBK,SSBK09
R000605,Mike Rounds,2019-01-18,116,senate,SSBK,SSBK09
M000934,Jerry Moran,2019-01-18,116,senate,SSBK,SSBK09
S001203,Tina Smith,2019-01-18,116,senate,SSBK,SSBK09
C000880,Michael D. Crapo,2019-01-18,116,senate,SSBK,SSBK09
P000612,David Perdue,2019-01-18,116,senate,SSBK,SSBK12
S001203,Tina Smith,2019-01-18,116,senate,SSBK,SSBK12
T000476,Thom Tillis,2019-01-18,116,senate,SSBK,SSBK12
K000393,John Kennedy,2019-01-18,116,senate,SSBK,SSBK12
C000880,Michael D. Crapo,2019-01-18,116,senate,SSBK,SSBK12
W000805,Mark Warner,2019-01-18,116,senate,SSBK,SSBK05
M000934,Jerry Moran,2019-01-18,116,senate,SSBK,SSBK05
V000128,Chris Van Hollen,2019-01-18,116,senate,SSBK,SSBK05
T000461,Patrick J. Toomey,2019-01-18,116,senate,SSBK,SSBK05
C000880,Michael D. Crapo,2019-01-18,116,senate,SSBK,SSBK05
W000817,Elizabeth Warren,2019-01-18,116,senate,SSBK,SSBK08
R000605,Mike Rounds,2019-01-18,116,senate,SSBK,SSBK08
R000122,Jack Reed,2019-01-18,116,senate,SSBK,SSBK08
T000476,Thom Tillis,2019-01-18,116,senate,SSBK,SSBK08
K000393,John Kennedy,2019-01-18,116,senate,SSBK,SSBK08
W000805,Mark Warner,2019-01-18,116,senate,SSBK,SSBK08
M000934,Jerry Moran,2019-01-18,116,senate,SSBK,SSBK08
V000128,Chris Van Hollen,2019-01-18,116,senate,SSBK,SSBK08
S000320,Richard C. Shelby,2019-01-18,116,senate,SSBK,SSBK08
T000461,Patrick J. Toomey,2019-01-18,116,senate,SSBK,SSBK08
C000880,Michael D. Crapo,2019-01-18,116,senate,SSBK,SSBK08
T000250,John Thune,2019-01-24,116,senate,SSCM,SSCM26
B000575,Roy Blunt,2019-01-24,116,senate,SSCM,SSCM26
B001277,Richard Blumenthal,2019-01-24,116,senate,SSCM,SSCM26
C001098,Ted Cruz,2019-01-24,116,senate,SSCM,SSCM26
F000463,Deb Fischer,2019-01-24,116,senate,SSCM,SSCM26
U000039,Tom Udall,2019-01-24,116,senate,SSCM,SSCM26
M000934,Jerry Moran,2019-01-24,116,senate,SSCM,SSCM26
P000595,Gary Peters,2019-01-24,116,senate,SSCM,SSCM26
S001198,Dan Sullivan,2019-01-24,116,senate,SSCM,SSCM26
D000622,Tammy Duckworth,2019-01-24,116,senate,SSCM,SSCM26
C001047,Shelley Moore Capito,2019-01-24,116,senate,SSCM,SSCM26
J000293,Ron Johnson,2019-01-24,116,senate,SSCM,SSCM26
R000608,Jacky Rosen,2019-01-24,116,senate,SSCM,SSCM26
C000127,Maria Cantwell,,116,senate,SSCM,SSCM26
