member_id,member_name,member_begin_date,congress,chamber,committee_id
E000285,Michael B. Enzi,2019-01-09,116,senate,SSGA
H001061,John Hoeven,2019-01-09,116,senate,SLIA
U000039,Tom Udall,2019-01-09,116,senate,SLIA
B001261,John Barrasso,2019-01-09,116,senate,SLIA
C000127,Maria Cantwell,2019-01-09,116,senate,SLIA
D000618,Steve Daines,2019-01-09,116,senate,SLIA
S001203,Tina Smith,2019-01-09,116,senate,SLIA
M000934,Jerry Moran,2019-01-09,116,senate,SLIA
B000575,Roy Blunt,2019-01-09,116,senate,SSRA
M000355,Mitch McConnell,2019-01-09,116,senate,SSRA
F000062,Dianne Feinstein,2019-01-09,116,senate,SSRA
A000360,Lamar Alexander,2019-01-09,116,senate,SSRA
R000307,Pat Roberts,2019-01-09,116,senate,SSRA
S000320,Richard C. Shelby,2019-01-09,116,senate,SSRA
U000039,Tom Udall,2019-01-09,116,senate,SSRA
C001098,Ted Cruz,2019-01-09,116,senate,SSRA
W000805,Mark Warner,2019-01-09,116,senate,SSRA
C001047,Shelley Moore Capito,2019-01-09,116,senate,SSRA
W000437,Roger Wicker,2019-01-09,116,senate,SSRA
K000383,Angus King,2019-01-09,116,senate,SSRA
F000463,Deb Fischer,2019-01-09,116,senate,SSRA
C000141,Benjamin L. Cardin,2019-01-09,116,senate,SSSB
C000127,Maria Cantwell,2019-01-09,116,senate,SSSB
P000603,Rand Paul,2019-01-09,116,senate,SSSB
S001181,Jeanne Shaheen,2019-01-09,116,senate,SSSB
B001288,Cory Booker,2019-01-09,116,senate,SSSB
I000024,James M. Inhofe,2019-01-09,116,senate,SSSB
C001088,Christopher A. Coons,2019-01-09,116,senate,SSSB
K000393,John Kennedy,2019-01-09,116,senate,SSSB
D000622,Tammy Duckworth,2019-01-09,116,senate,SSSB
R000608,Jacky Rosen,2019-01-09,116,senate,SSSB
E000285,Michael B. Enzi,2019-01-09,116,senate,SSBU
M001111,Patty Murray,2019-01-09,116,senate,SSBU
C000880,Michael D. Crapo,2019-01-09,116,senate,SSBU
W000779,Ron Wyden,2019-01-09,116,senate,SSBU
G000359,Lindsey Graham,2019-01-09,116,senate,SSBU
T000461,Patrick J. Toomey,2019-01-09,116,senate,SSBU
W000802,Sheldon Whitehouse,2019-01-09,116,senate,SSBU
J000293,Ron Johnson,2019-01-09,116,senate,SSBU
W000805,Mark Warner,2019-01-09,116,senate,SSBU
P000612,David Perdue,2019-01-09,116,senate,SSBU
K000384,Tim Kaine,2019-01-09,116,senate,SSBU
S001217,Rick Scott,2019-01-09,116,senate,SSBU
V000128,Chris Van Hollen,2019-01-09,116,senate,SSBU
K000393,John Kennedy,2019-01-09,116,senate,SSBU
G000359,Lindsey Graham,2019-01-09,116,senate,SSJU
F000062,Dianne Feinstein,2019-01-09,116,senate,SSJU
C001056,John Cornyn,2019-01-09,116,senate,SSJU
W000802,Sheldon Whitehouse,2019-01-09,116,senate,SSJU
C001098,Ted Cruz,2019-01-09,116,senate,SSJU
C001088,Christopher A. Coons,2019-01-09,116,senate,SSJU
B001277,Richard Blumenthal,2019-01-09,116,senate,SSJU
T000476,Thom Tillis,2019-01-09,116,senate,SSJU
B001288,Cory Booker,2019-01-09,116,senate,SSJU
C000880,Michael D. Crapo,2019-01-09,116,senate,SSJU
K000393,John Kennedy,2019-01-09,116,senate,SSJU
M000934,Jerry Moran,2019-01-09,116,senate,SSVA
M001111,Patty Murray,2019-01-09,116,senate,SSVA
B001236,John Boozman,2019-01-09,116,senate,SSVA
C001075,Bill Cassidy,2019-01-09,116,senate,SSVA
R000605,Mike Rounds,2019-01-09,116,senate,SSVA
B001277,Richard Blumenthal,2019-01-09,116,senate,SSVA
T000476,Thom Tillis,2019-01-09,116,senate,SSVA
S001198,Dan Sullivan,2019-01-09,116,senate,SSVA
M001183,Joe Manchin III,2019-01-09,116,senate,SSVA
C001088,Christopher A. Coons,2019-01-09,116,senate,SLET
R000307,Pat Roberts,2019-01-09,116,senate,SLET
S001181,Jeanne Shaheen,2019-01-09,116,senate,SLET
B001135,Richard M. Burr,2019-01-09,116,senate,SLIN
W000805,Mark Warner,2019-01-09,116,senate,SLIN
F000062,Dianne Feinstein,2019-01-09,116,senate,SLIN
W000779,Ron Wyden,2019-01-09,116,senate,SLIN
C001035,Susan Collins,2019-01-09,116,senate,SLIN
B000575,Roy Blunt,2019-01-09,116,senate,SLIN
K000383,Angus King,2019-01-09,116,senate,SLIN
C001056,John Cornyn,2019-01-09,116,senate,SLIN
B001267,Michael Bennet,2019-01-09,116,senate,SLIN
M000355,Mitch McConnell,2019-01-09,116,senate,SLIN
R000122,Jack Reed,2019-01-09,116,senate,SLIN
I000024,James M. Inhofe,2019-01-09,116,senate,SLIN
C001035,Susan Collins,2019-01-09,116,senate,SPAG
B001135,Richard M. Burr,2019-01-09,116,senate,SPAG
B001277,Richard Blumenthal,2019-01-09,116,senate,SPAG
W000817,Elizabeth Warren,2019-01-09,116,senate,SPAG
R000608,Jacky Rosen,2019-01-09,116,senate,SPAG
S001217,Rick Scott,2019-01-09,116,senate,SPAG
C001056,John Cornyn,,116,senate,SCNC
F000062,Dianne Feinstein,,116,senate,SCNC
W000802,Sheldon Whitehouse,,116,senate,SCNC
R000608,Jacky Rosen,,116,senate,SCNC
P000612,David Perdue,,116,senate,SCNC
W000437,Roger Wicker,,116,joint,JCSE
C000141,Benjamin L. Cardin,,116,joint,JCSE
B001236,John Boozman,,116,joint,JCSE
W000802,Sheldon Whitehouse,,116,joint,JCSE
U000039,Tom Udall,,116,joint,JCSE
S001181,Jeanne Shaheen,,116,joint,JCSE
T000476,Thom Tillis,,116,joint,JCSE
B000575,Roy Blunt,,116,joint,JSPR
R000307,Pat Roberts,,116,joint,JSPR
U000039,Tom Udall,,116,joint,JSPR
W000437,Roger Wicker,,116,joint,JSPR
W000779,Ron Wyden,,116,joint,JSTX
C000880,Michael D. Crapo,,116,joint,JSTX
E000285,Michael B. Enzi,,116,joint,JSTX
B000575,Roy Blunt,,116,joint,JSLC
R000307,Pat Roberts,,116,joint,JSLC
S000320,Richard C. Shelby,,116,joint,JSLC
P000595,Gary Peters,2019-01-09,116,joint,JSEC
P000449,Rob Portman,2019-01-09,116,joint,JSEC
C001075,Bill Cassidy,2019-01-09,116,joint,JSEC
C001098,Ted Cruz,2019-01-09,116,joint,JSEC
B001236,John Boozman,,117,senate,SSAF
M000355,Mitch McConnell,,117,senate,SSAF
H001061,John Hoeven,,117,senate,SSAF
B001267,Michael Bennet,,117,senate,SSAF
M001198,Roger Marshall,,117,senate,SSAF
S001203,Tina Smith,,117,senate,SSAF
T000278,Tommy Tuberville,,117,senate,SSAF
B001288,Cory Booker,,117,senate,SSAF
T000250,John Thune,,117,senate,SSAF
F000463,Deb Fischer,,117,senate,SSAF
S000320,Richard C. Shelby,,117,senate,SSAP
M001111,Patty Murray,,117,senate,SSAP
M000355,Mitch McConnell,,117,senate,SSAP
F000062,Dianne Feinstein,,117,senate,SSAP
C001035,Susan Collins,,117,senate,SSAP
R000122,Jack Reed,,117,senate,SSAP
G000359,Lindsey Graham,,117,senate,SSAP
B000575,Roy Blunt,,117,senate,SSAP
S001181,Jeanne Shaheen,,117,senate,SSAP
M000934,Jerry Moran,,117,senate,SSAP
H001061,John Hoeven,,117,senate,SSAP
C001088,Christopher A. Coons,,117,senate,SSAP
B001236,John Boozman,,117,senate,SSAP
C001047,Shelley Moore Capito,,117,senate,SSAP
K000393,John Kennedy,,117,senate,SSAP
M001183,Joe Manchin III,,117,senate,SSAP
V000128,Chris Van Hollen,,117,senate,SSAP
H000601,Bill Hagerty,,117,senate,SSAP
R000122,Jack Reed,,117,senate,SSAS
I000024,James M. Inhofe,,117,senate,SSAS
S001181,Jeanne Shaheen,,117,senate,SSAS
W000437,Roger Wicker,,117,senate,SSAS
F000463,Deb Fischer,,117,senate,SSAS
B001277,Richard Blumenthal,,117,senate,SSAS
R000605,Mike Rounds,,117,senate,SSAS
K000384,Tim Kaine,,117,senate,SSAS
K000383,Angus King,,117,senate,SSAS
T000476,Thom Tillis,,117,senate,SSAS
W000817,Elizabeth Warren,,117,senate,SSAS
S001198,Dan Sullivan,,117,senate,SSAS
P000595,Gary Peters,,117,senate,SSAS
M001183,Joe Manchin III,,117,senate,SSAS
S001217,Rick Scott,,117,senate,SSAS
