related_bill_id,related_bill_title,related_bill_introduction_date,bill_slug,bill_congress
s2674-116,"A bill to amend the Safe Drinking Water Act to establish a grant program for improving infrastructure asset management by small public water systems, and for other purposes.",2019-10-23,s2674,116
s2582-116,"An original bill making appropriations for the Department of Homeland Security for the fiscal year ending September 30, 2020, and for other purposes.",2019-09-26,s2582,116
s2555-116,"A bill to designate the New River Gorge National River in the State of West Virginia as the 'New River Gorge National Park and Preserve', and for other purposes.",2019-09-26,s2555,116
s2273-116,"A bill to amend title 40, United States Code, to reauthorize the Appalachian Regional Commission, and for other purposes.",2019-07-25,s2273,116
s2280-116,"A bill to amend title 40, United States Code, to establish an Appalachian regional energy hub initiative, and for other purposes.",2019-07-25,s2280,116
s2271-116,"A bill to amend title 23, United States Code, to establish a program to improve infrastructure development in Appalachia, and for other purposes.",2019-07-25,s2271,116
s1627-116,"A bill to amend the Internal Revenue Code of 1986 to extend and modify the section 45 credit for refined coal from steel industry fuel, and for other purposes.",2019-05-23,s1627,116
s1507-116,"A bill to include certain perfluoroalkyl and polyfluoroalkyl substances in the toxics release inventory, and for other purposes.",2019-05-16,s1507,116
s1522-116,"A bill to improve broadband data collection, mapping, and validation to support the effective deployment of broadband services to all areas of the United States, and for other purposes.",2019-05-16,s1522,116
s1334-116,A bill authorizing a program to promote innovative approaches to securing prompt access to appropriate care for individuals presenting at emergency departments with acute mental health illness.,2019-05-06,s1334,116
s1190-116,A bill to amend title XVIII of the Social Security Act to provide for payments for certain rural health clinic and Federally qualified health center services furnished to hospice patients under the Medicare program.,2019-04-11,s1190,116
s1126-116,"A bill to provide better care for Americans living with Alzheimer's disease and related dementias and their caregivers, while accelerating progress toward prevention strategies, disease modifying treatments, and, ultimately, a cure.",2019-04-10,s1126,116
s988-116,A bill to amend title XVIII of the Social Security Act to prohibit prescription drug plan sponsors and MA-PD organizations under the Medicare program from retroactively reducing payment on clean claims submitted by pharmacies.,2019-04-02,s988,116
s671-116,"A bill to amend the Surface Mining Control and Reclamation Act of 1977 to transfer certain funds to the 1974 United Mine Workers of America Pension Plan, and for other purposes.",2019-03-06,s671,116
s384-116,"A bill to require the Secretary of Commerce, acting through the Director of the National Institute of Standards and Technology, to help facilitate the adoption of composite technology in infrastructure in the United States, and for other purposes.",2019-02-07,s384,116
s94-116,A bill to amend the Pittman-Robertson Wildlife Restoration Act to facilitate the establishment of additional or expanded public target ranges in certain States.,2019-01-10,s94,116
s1397-118,A bill to modify the Federal TRIO programs.,2023-05-02,s1397,118
s830-118,A bill to amend the Internal Revenue Code of 1986 to increase the limitation on the amount individuals filing jointly can deduct for certain State and local taxes.,2023-03-16,s830,118
s747-118,"A bill to authorize the Secretary of Agriculture to provide grants to States, territories, and Indian Tribes to address contamination by perfluoroalkyl and polyfluoroalkyl substances on farms, and for other purposes.",2023-03-09,s747,118
s134-118,A bill to require an annual budget estimate for the initiatives of the National Institutes of Health pursuant to reports and recommendations made under the National Alzheimer's Project Act.,2023-01-30,s134,118
s133-118,A bill to extend the National Alzheimer's Project.,2023-01-30,s133,118
sres859-117,"A resolution designating December 17, 2022, as 'National Wreaths Across America Day'.",2022-12-06,sres859,117
s5070-117,"A bill to authorize the Secretary of Agriculture to provide grants to States to address contamination by perfluoroalkyl and polyfluoroalkyl substances on farms, and for other purposes.",2022-10-11,s5070,117
sres794-117,"A resolution proclaiming the week of September 26 through September 30, 2022, to be 'National Clean Energy Week'.",2022-09-22,sres794,117
s4573-117,"A bill to amend title 3, United States Code, to reform the Electoral Count Act, and to amend the Presidential Transition Act of 1963 to provide clear guidelines for when and to whom resources are provided by the Administrator of General Services for use in connection with the preparations for the assumption of official duties as President or Vice President.",2022-07-20,s4573,117
s4446-117,A bill to modernize the process of accelerated approval of a drug for a serious or life-threatening disease or condition.,2022-06-22,s4446,117
s4420-117,"A bill to provide for advancements in carbon removal research, quantification, and commercialization, including by harnessing natural processes, and for other purposes.",2022-06-16,s4420,117
sres655-117,"A resolution supporting the designation of May 13, 2022 as 'National Senior Fraud Awareness Day' to raise awareness about the increasing number of fraudulent scams targeted at seniors in the United States, to encourage the implementation of policies to prevent those scams from happening, and to improve protections from those scams for seniors.",2022-05-26,sres655,117
s4203-117,A bill to extend the National Alzheimer's Project.,2022-05-12,s4203,117
s4202-117,A bill to require an annual budget estimate for the initiatives of the National Institutes of Health pursuant to reports and recommendations made under the National Alzheimer's Project Act.,2022-05-12,s4202,117
