related_bill_id,related_bill_title,related_bill_introduction_date,bill_slug,bill_congress
s4443-116,"A bill to amend title 18, United States Code, to protect more victims of domestic violence by preventing their abusers from possessing or receiving firearms, and for other purposes.",2020-08-05,s4443,116
s4187-116,"A bill to establish the Intercity Passenger Rail Trust Fund to ensure a safe, sustainable, convenient transportation option for the people of the United States, and for other purposes.",2020-07-02,s4187,116
s4094-116,A bill to prohibit the procurement by the Director of the Defense Logistics Agency of certain items containing a perfluoroalkyl substance or polyfluoroalkyl substance.,2020-06-29,s4094,116
s4068-116,A bill to prohibit firearms dealers from selling a firearm prior to the completion of a background check.,2020-06-25,s4068,116
sres626-116,"A resolution upholding the civil liberties and civil rights of Iranian Americans and condemning bigotry, violence, and discrimination.",2020-06-17,sres626,116
s3902-116,"A bill to amend the Insurrection Act to curtail violations against the civil liberties of the people of the United States, and for other purposes.",2020-06-04,s3902,116
s3808-116,"A bill to improve the affordability and accessibility of child care for military families, and for other purposes.",2020-05-21,s3808,116
s3760-116,"A bill to amend the Higher Education Act of 1965 to provide for a percentage of student loan forgiveness for public service employment, and for other purposes.",2020-05-19,s3760,116
s3749-116,A bill to protect the privacy of health information during a national health emergency.,2020-05-14,s3749,116
s3743-116,"A bill to amend chapter 44 of title 18, United States Code, to ensure that all firearms are traceable, and for other purposes.",2020-05-14,s3743,116
s3575-116,"A bill to amend title 38, United States Code, to restore entitlement to rehabilitation programs for veterans affected by school closures or disapprovals, and for other purposes.",2020-03-24,s3575,116
sres507-116,A resolution supporting Minor League Baseball.,2020-02-27,sres507,116
sres495-116,"A resolution designating February 12, 2020, as 'Darwin Day' and recognizing the importance of science to the betterment of humanity.",2020-02-11,sres495,116
s3125-116,"A bill to amend the Internal Revenue Code of 1986 to allow for contributions to the Alzheimer's Research and Caregiving Trust Fund, and for other purposes.",2019-12-19,s3125,116
s3117-116,"A bill to create dedicated funds to conserve butterflies in North America, plants in the Pacific Islands, freshwater mussels in the United States, and desert fish in the Southwest United States, and for other purposes.",2019-12-19,s3117,116
s3143-116,"A bill to ban certain rare earth magnets, and for other purposes.",2019-12-19,s3143,116
s3065-116,"A bill to amend the Consumer Product Safety Act to direct the Consumer Product Safety Commission to establish consumer product safety standards for firearm locks and firearm safes, and for other purposes.",2019-12-17,s3065,116
sconres30-116,"A concurrent resolution recognizing the need to improve physical access to many federally funded facilities for all people of the United States, particularly individuals with disabilities.",2019-12-12,sconres30,116
s3021-116,"A bill to amend the Federal Food, Drug, and Cosmetic Act to require the label of a drug that is intended for human use and contains an ingredient that is derived directly or indirectly from a gluten-containing grain to identify each such ingredient, and for other purposes.",2019-12-11,s3021,116
s2947-116,"A bill to require the Secretary of Transportation to finalize a rule to protect consumers from the risks of carbon monoxide poisoning from keyless ignition motor vehicles, and for other purposes.",2019-11-21,s2947,116
s2943-116,"A bill to amend titles XVIII and XIX of the Social Security Act to revise minimum nurse staffing requirements for skilled nursing facilities under the Medicare program and for nursing facilities under the Medicaid program, and for other purposes.",2019-11-21,s2943,116
s2957-116,"A bill to prohibit the circumvention of control measures used by Internet retailers to ensure equitable consumer access to products, and for other purposes.",2019-11-21,s2957,116
sres370-116,"A resolution designating October 2019 as 'National Bullying Prevention Month' and October 23, 2019, as 'Unity Day'.",2019-10-22,sres370,116
s2654-116,"A bill to prohibit the obligation or expenditure of Federal funds for certain agreements relating to the 46th G7 Summit, and for other purposes.",2019-10-21,s2654,116
s2652-116,"A bill to amend title 49, United States Code, to provide that only citizens or nationals of the United States may operate trains within the United States that originate in Mexico.",2019-10-21,s2652,116
s2633-116,"A bill to amend title XVIII of the Social Security Act to provide coverage for wigs as durable medical equipment under the Medicare program, and for other purposes.",2019-10-17,s2633,116
s2562-116,"A bill to amend the Lacey Act Amendments of 1981 to prohibit the importation, exportation, transportation, sale, receipt, acquisition, and purchase in interstate or foreign commerce, or in a manner substantially affecting interstate or foreign commerce, of any live animal of any prohibited wildlife species.",2019-09-26,s2562,116
s2561-116,"A bill to amend the Lacey Act Amendments of 1981 to clarify provisions enacted by the Captive Wildlife Safety Act, to further the conservation of certain wildlife species, and for other purposes.",2019-09-26,s2561,116
s2341-116,"A bill to establish protections for passengers in air transportation, and for other purposes.",2019-07-30,s2341,116
s2337-116,"A bill to establish requirements for quality and discard dates that are, at the option of food labelers, included in food packaging, and for other purposes.",2019-07-30,s2337,116
s2327-116,"A bill to amend title 38, United States Code, to modify the eligibility requirements for transfer of unused entitlement to Post-9/11 Educational Assistance, and for other purposes.",2019-07-30,s2327,116
s2224-116,"A bill to amend section 214(c)(8) of the Immigration and Nationality Act to modify the data reporting requirements relating to nonimmigrant employees, and for other purposes.",2019-07-23,s2224,116
s2097-116,"A bill to amend section 287 of the Immigration and Nationality Act to limit immigration enforcement actions at sensitive locations, to clarify the powers of immigration officers at such locations, and for other purposes.",2019-07-11,s2097,116
s2043-116,"A bill to provide incentives for hate crime reporting, provide grants for State-run hate crime hotlines, and establish alternative sentencing for individuals convicted under the Matthew Shephard and James Byrd, Jr. Hate Crimes Prevention Act.",2019-06-27,s2043,116
s1990-116,"A bill to amend title 5, United States Code, to provide additional authority to the Office of Special Counsel, and for other purposes.",2019-06-26,s1990,116
s1944-116,A bill to fully fund the Prevention and Public Health Fund and reaffirm the importance of prevention in the United States healthcare system.,2019-06-24,s1944,116
s1924-116,A bill to prevent the purchase of ammunition by prohibited purchasers.,2019-06-20,s1924,116
s1930-116,"A bill to amend title 14, United States Code, to direct the Commandant of the Coast Guard to report to Congress on efforts to increase gender diversity in the Coast Guard, and for other purposes.",2019-06-20,s1930,116
s1850-116,"A bill to direct the Federal Trade Commission to prescribe rules to protect consumers from unfair and deceptive acts and practices in connection with primary and secondary ticket sales, and for other purposes.",2019-06-13,s1850,116
s1779-116,A bill to repeal the Protection of Lawful Commerce in Arms Act.,2019-06-11,s1779,116
s1767-116,"A bill to prohibit the manufacture for sale, offer for sale, distribution in commerce, or importation into the United States of any inclined sleeper for infants, and for other purposes.",2019-06-10,s1767,116
s1756-116,"A bill to amend title 18, United States Code, to provide for the tolling of the statute of limitations with regard to certain offenses committed by the President of the United States during or prior to tenure in office, and for other purposes.",2019-06-10,s1756,116
s1645-116,"A bill to protect a woman's ability to determine whether and when to bear a child or end a pregnancy, and to protect a health care provider's ability to provide reproductive health care services, including abortion services.",2019-05-23,s1645,116
s1484-116,"A bill to provide disaster relief assistance to individuals for the purpose of clearing fallen debris, and for other purposes.",2019-05-15,s1484,116
s1321-116,"A bill to amend title 18, United States Code, to prohibit interference with voting systems under the Computer Fraud and Abuse Act.",2019-05-06,s1321,116
s1290-116,"A bill to promote competition and help consumers save money by giving them the freedom to choose where they buy prescription pet medications, and for other purposes.",2019-05-02,s1290,116
s1247-116,"A bill to amend the Federal Election Campaign Act of 1971 to require reporting to the Federal Election Commission and the Federal Bureau of Investigation of offers by foreign nationals to make prohibited contributions, donations, expenditures, or disbursements, and for other purposes.",2019-04-30,s1247,116
s1212-116,"A bill to amend the Communications Act of 1934 to expand and clarify the prohibition on inaccurate caller identification information and to require providers of telephone service to offer technology to subscribers to reduce the incidence of unwanted telephone calls and text messages, and for other purposes.",2019-04-11,s1212,116
s1112-116,"A bill to improve the safety of the air supply on commercial aircraft, and for other purposes.",2019-04-10,s1112,116
s1048-116,A bill to amend the Public Health Service Act to provide for a Reducing Youth Use of E-Cigarettes Initiative.,2019-04-04,s1048,116
s896-116,"A bill to amend the Ethics in Government Act of 1978 to provide for reform in the operations of the Office of Government Ethics, and for other purposes.",2019-03-27,s896,116
s864-116,A bill to provide for further comprehensive research at the National Institute of Neurological Disorders and Stroke on unruptured intracranial aneurysms.,2019-03-25,s864,116
s855-116,"A bill to amend title 18, United States Code, to make it a criminal offense for individuals to engage in sexual acts while acting under color of law or with individuals in their custody, to encourage States to adopt similar laws, and for other purposes.",2019-03-25,s855,116
s809-116,A bill to amend the Internal Revenue Code of 1986 to allow a credit against income tax for qualified conservation contributions which include National Scenic Trails.,2019-03-14,s809,116
s751-116,"A bill to amend title 18, United States Code, to provide a penalty for assault against journalists, and for other purposes.",2019-03-12,s751,116
s606-116,"A bill to improve oversight and evaluation of the mental health and suicide prevention media outreach campaigns of the Department of Veterans Affairs, and for other purposes.",2019-02-28,s606,116
s610-116,A bill to amend title 9 of the United States Code with respect to arbitration.,2019-02-28,s610,116
s637-116,A bill to prohibit price gouging in the sale of drugs.,2019-02-28,s637,116
s543-116,"A bill to require the Secretary of Transportation to finalize rules to protect consumers from the risks of carbon monoxide poisoning and rollaways from motor vehicles, and for other purposes.",2019-02-25,s543,116
sres63-116,"A resolution expressing support for the designation of February 12, 2019, as 'Darwin Day' and recognizing the importance of science in the betterment of humanity.",2019-02-11,sres63,116
s332-116,"A bill to amend title 38, United States Code, to remove the manifestation period required for the presumptions of service connection for chloracne, porphyria cutanea tarda, and acute and subacute peripheral neuropathy associated with exposure to certain herbicide agents, and for other purposes.",2019-02-05,s332,116
s271-116,A bill to grant lawful permanent resident status to certain eligible persons who were separated from immediate family members by the Department of Homeland Security.,2019-01-30,s271,116
s269-116,A bill to protect our Social Security system and improve benefits for current and future generations.,2019-01-30,s269,116
s236-116,"A bill to require a Special Counsel report, and for other purposes.",2019-01-28,s236,116
s193-116,"A bill to amend chapter 44 of title 18, United States Code, to require the safe storage of firearms, and for other purposes.",2019-01-18,s193,116
s165-116,"A bill to amend chapter 85 of title 5, United States Code, to clarify that Federal employees excepted from a furlough are eligible for unemployment compensation.",2019-01-16,s165,116
s1174-118,A bill to amend the Internal Revenue Code of 1986 to increase funding for Social Security and Medicare.,2023-04-18,s1174,118
s1127-118,"A bill to amend the CALM Act to include video streaming services, and for other purposes.",2023-03-30,s1127,118
s946-118,"A bill to amend the Federal Power Act to establish a procedure for the siting of certain interstate electric transmission facilities, and for other purposes.",2023-03-22,s946,118
s542-118,A bill to amend the Internal Revenue Code of 1986 to increase the applicable dollar amount for qualified carbon oxide which is captured and utilized for purposes of the carbon oxide sequestration credit.,2023-02-28,s542,118
s547-118,"A bill to award a Congressional Gold Medal, collectively, to the First Rhode Island Regiment, in recognition of their dedicated service during the Revolutionary War.",2023-02-28,s547,118
s512-118,"A bill to amend the Federal Election Campaign Act of 1971 to provide for additional disclosure requirements for corporations, labor organizations, Super PACs and other entities, and for other purposes.",2023-02-16,s512,118
s408-118,"A bill to amend the Internal Revenue Code of 1986 to impose a windfall profits excise tax on crude oil and to rebate the tax collected back to individual taxpayers, and for other purposes.",2023-02-14,s408,118
s357-118,"A bill to amend the Internal Revenue Code of 1986 to provide for current year inclusion of net CFC tested income, and for other purposes.",2023-02-09,s357,118
s359-118,"A bill to amend title 28, United States Code, to provide for a code of conduct for justices of the Supreme Court of the United States, and for other purposes.",2023-02-09,s359,118
s373-118,"A bill to modify the disposition of certain outer Continental Shelf revenues and to open Federal financial sharing to heighten opportunities for renewable energy, and for other purposes.",2023-02-09,s373,118
sres52-118,An original resolution authorizing expenditures by the Committee on the Budget.,2023-02-09,sres52,118
sres25-118,A resolution recognizing January 2023 as 'National Mentoring Month'.,2023-02-02,sres25,118
sres835-117,A resolution expressing support for the designation of October 2022 as 'National Youth Justice Action Month'.,2022-11-16,sres835,117
sres779-117,"A resolution designating the week of September 17 through September 24, 2022, as 'National Estuaries Week'.",2022-09-20,sres779,117
s4822-117,"A bill to amend the Federal Election Campaign Act of 1971 to provide for additional disclosure requirements for corporations, labor organizations, Super PACs and other entities, and for other purposes.",2022-09-12,s4822,117
s4706-117,"A bill to amend title 28, United States Code, to provide for the duration of active service of the Chief Justice of the United States and associate justices of the Supreme Court of the United States, and for other purposes.",2022-08-02,s4706,117
sres685-117,"A resolution designating June 26, 2022 as the 'International Day against Drug Abuse and Illicit Trafficking'.",2022-06-21,sres685,117
s4345-117,A bill to amend the Higher Education Act of 1965 to amend the public service loan forgiveness program.,2022-05-26,s4345,117
s4344-117,"A bill to establish a temporary program for the refinancing of certain Federal and private student loans, and for other purposes.",2022-05-26,s4344,117
s4188-117,"A bill to amend title 28, United States Code, to provide for a code of conduct for justices of the Supreme Court of the United States, and for other purposes.",2022-05-11,s4188,117
s4173-117,"A bill to amend the CALM Act to include video streaming services, and for other purposes.",2022-05-10,s4173,117
s4010-117,"A bill to amend title 28, United States Code, to provide for the establishment of a code of conduct for the justices of the Supreme Court of the United States, and for other purposes.",2022-04-06,s4010,117
s3859-117,"A bill to control the export of electronic waste in order to ensure that such waste does not become the source of counterfeit goods that may reenter military and civilian electronics supply chains in the United States, and for other purposes.",2022-03-17,s3859,117
s3827-117,A bill to increase the amount of loan forgiveness available to teachers.,2022-03-14,s3827,117
s3828-117,A bill to provide student loan forgiveness to health care workers who are on the front line in response to COVID-19.,2022-03-14,s3828,117
s3802-117,"A bill to amend the Internal Revenue Code of 1986 to impose a windfall profits excise tax on crude oil and to rebate the tax collected back to individual taxpayers, and for other purposes.",2022-03-10,s3802,117
s3607-117,"A bill to award a Congressional gold medal, collectively, to the First Rhode Island Regiment, in recognition of their dedicated service during the Revolutionary War.",2022-02-09,s3607,117
sres498-117,A resolution recognizing January 2022 as 'National Mentoring Month'.,2022-01-20,sres498,117
s3415-117,"A bill to ensure that the United States, States, and local governments are liable for monetary damages for constitutional violations by law enforcement officers.",2021-12-16,s3415,117
s3385-117,"A bill to amend title 28, United States Code, to require certain disclosures related to amicus activities.",2021-12-14,s3385,117
s3343-117,"A bill to provide a civil remedy for an individual whose rights have been violated by a person acting under Federal authority, and for other purposes.",2021-12-08,s3343,117
s3137-117,"A bill to amend title 18, United States Code, to prohibit a foreign official from demanding a bribe, and for other purposes.",2021-11-02,s3137,117
sres423-117,A resolution expressing support for the designation of October 2021 as 'National Youth Justice Action Month'.,2021-10-19,sres423,117
s2901-117,"A bill to amend title V of the Public Health Service Act to provide for increased oversight of recovery housing, and for other purposes.",2021-09-29,s2901,117
sres374-117,"A resolution designating the week of September 19 through September 25, 2021, as 'National Estuaries Week'.",2021-09-21,sres374,117
s2659-117,"A bill to require the establishment of an advanced energy technology research initiative and an advanced energy technology and modeling grant program, and for other purposes.",2021-08-05,s2659,117
s2645-117,A bill to amend the Internal Revenue Code of 1986 to establish an excise tax on plastics.,2021-08-05,s2645,117
s2651-117,"A bill to amend the Federal Power Act to establish a procedure for the siting of certain interstate electric transmission facilities, and for other purposes.",2021-08-05,s2651,117
s2632-117,"A bill to amend title 18, United States Code, to include doping fraud as a predicate offense for racketeering and money laundering offenses, and for other purposes.",2021-08-05,s2632,117
s2455-117,"A bill to amend the Internal Revenue Code of 1986 to expand the exclusion of Pell Grants from gross income, and for other purposes.",2021-07-22,s2455,117
sres293-117,"A resolution designating June 26, 2021, as the 'International Day against Drug Abuse and Illicit Trafficking'.",2021-06-24,sres293,117
s2139-117,"A bill to amend title 18, United States Code, to prevent international cybercrime, and for other purposes.",2021-06-21,s2139,117
s2130-117,"A bill to modify the disposition of certain outer Continental Shelf revenues and to open Federal financial sharing to heighten opportunities for renewable energy, and for other purposes.",2021-06-17,s2130,117
s1608-117,"A bill to support the sustainable aviation fuel market, and for other purposes.",2021-05-13,s1608,117
s1479-117,A bill to amend the Internal Revenue Code of 1986 to provide a tax credit for taxpayers who remove lead-based hazards.,2021-04-29,s1479,117
s1420-117,"A bill to establish an integrated national approach to respond to ongoing and expected effects of extreme weather and climate change by protecting, managing, and conserving the fish, wildlife, and plants of the United States, and to maximize Government efficiency and reduce costs, in cooperation with State, local, and Tribal governments and other entities, and for other purposes.",2021-04-28,s1420,117
s1276-117,"A bill to designate certain National Forest System land and certain public land under the jurisdiction of the Secretary of the Interior in the States of Idaho, Montana, Oregon, Washington, and Wyoming as wilderness, wild and scenic rivers, wildland recovery areas, and biological connecting corridors, and for other purposes.",2021-04-21,s1276,117
s1207-117,"A bill to amend title 18, United States Code, to require a Federal court to consider certain factors in imposing a sentence on a caretaker, and for other purposes.",2021-04-19,s1207,117
s1194-117,A bill to include Portugal in the list of foreign states whose nationals are eligible for admission into the United States as E-1 and E-2 nonimmigrants if United States nationals are treated similarly by the Government of Portugal and to otherwise modify the eligibility criteria for E visas.,2021-04-15,s1194,117
s939-117,"A bill to encourage the research and use of innovative materials and associated techniques in the construction and preservation of the domestic transportation and water infrastructure system, and for other purposes.",2021-03-24,s939,117
s900-117,"A bill to amend title 40, United States Code, to establish a Southern New England Regional Commission, and for other purposes.",2021-03-23,s900,117
s714-117,"A bill to amend the Internal Revenue Code of 1986 to provide for current year inclusion of net CFC tested income, and for other purposes.",2021-03-11,s714,117
s725-117,"A bill to end offshore corporate tax avoidance, and for other purposes.",2021-03-11,s725,117
s645-117,"A bill to require the Secretary of the Treasury to levy a fee on methane emissions from oil and natural gas facilities, and for other purposes.",2021-03-09,s645,117
s443-117,"A bill to amend the Federal Election Campaign Act of 1971 to provide for additional disclosure requirements for corporations, labor organizations, Super PACs and other entities, and for other purposes.",2021-02-25,s443,117
s147-117,A bill to amend the Internal Revenue Code of 1986 to impose a limitation on excess business losses of non-corporate taxpayers and to modify the carryback of net operating losses for certain taxable years.,2021-02-02,s147,117
sres19-117,A resolution recognizing January 2021 as 'National Mentoring Month'.,2021-01-28,sres19,117
s140-117,"A bill to improve data collection and monitoring of the Great Lakes, oceans, bays, estuaries, and coasts, and for other purposes.",2021-01-28,s140,117
s4908-116,A bill to amend the Internal Revenue Code of 1986 to provide a tax credit for taxpayers who remove lead-based hazards.,2020-11-18,s4908,116
sres757-116,A resolution expressing support for the designation of the month of November 2020 as 'Pancreatic Cancer Awareness Month'.,2020-10-23,sres757,116
s4727-116,"A bill to require the establishment of an advanced energy technology research initiative and an advanced energy technology and modeling grant program, and for other purposes.",2020-09-24,s4727,116
sres700-116,"A resolution designating the week of September 19 through September 26, 2020, as 'National Estuaries Week'.",2020-09-16,sres700,116
s4316-116,"A bill to provide Federal reimbursement of qualified State paid leave programs, and for other purposes.",2020-07-23,s4316,116
s3640-116,A bill to amend the Internal Revenue Code of 1986 to allow certain taxpayers a 2-year carryback of net operating losses and to restore and make permanent the limitation on excess business losses of non-corporate taxpayers.,2020-05-07,s3640,116
sres485-116,A resolution recognizing January 2020 as 'National Mentoring Month'.,2020-01-28,sres485,116
s3171-116,"A bill to amend the Federal Water Pollution Control Act to reauthorize the National Estuary Program, and for other purposes.",2020-01-09,s3171,116
s2928-116,A bill to amend the Higher Education Act of 1965 to reauthorize the University Sustainability Program.,2019-11-21,s2928,116
s2926-116,A bill to include Portugal in the list of foreign states whose nationals are eligible for admission into the United States as E-1 and E-2 nonimmigrants if United States nationals are treated similarly by the Government of Portugal.,2019-11-21,s2926,116
s2632-116,"A bill to amend the Ethics in Government Act of 1978 to require more detailed travel disclosure filings from judicial officers, and for other purposes.",2019-10-17,s2632,116
s2448-116,"A bill to control the export of electronic waste in order to ensure that such waste does not become the source of counterfeit goods that may reenter military and civilian electronics supply chains in the United States, and for other purposes.",2019-09-09,s2448,116
sres305-116,"A resolution designating the week of September 14 through September 21, 2019, as 'National Estuaries Week'.",2019-08-01,sres305,116
s1923-116,"A bill to require the establishment of a Consumer Price Index for Elderly Consumers to compute cost-of-living increases for Social Security benefits under title II of the Social Security Act and to provide, in the case of elderly beneficiaries under such title, for an annual cost-of-living increase which is not less than 3 percent.",2019-06-20,s1923,116
s1915-116,"A bill to require the recording and reporting of communications between the Department of Justice and the White House relating to civil and criminal investigations, and for other purposes.",2019-06-20,s1915,116
s1726-116,A bill to ensure high-income earners pay a fair share of Federal taxes.,2019-06-05,s1726,116
s1704-116,"A bill to provide grants to States to ensure that all students in the middle grades are taught an academically rigorous curriculum with effective supports so that students complete the middle grades prepared for success in secondary school and postsecondary endeavors, to improve State and local educational agency policies and program relating to the academic achievement of students in the middle grades, to develop and implement effective middle grades models for struggling students, and for other purposes.",2019-06-04,s1704,116
sres230-116,"A resolution recognizing the significant milestone of Senior Corps volunteers serving 50,000,000 hours in 2018.",2019-06-04,sres230,116
s1679-116,"A bill to require the Secretary of Defense to carry out the Direct Air Capture and Blue Carbon Removal Technology Program, and for other purposes.",2019-05-23,s1679,116
s1482-116,"A bill to establish an integrated national approach to respond to ongoing and expected effects of extreme weather and climate change by protecting, managing, and conserving the fish, wildlife, and plants of the United States, and to maximize Government efficiency and reduce costs, in cooperation with State, local, and Tribal governments and other entities, and for other purposes.",2019-05-15,s1482,116
s1411-116,"A bill to amend title 28, United States Code, to require certain disclosures related to amicus activities.",2019-05-09,s1411,116
s1296-116,A bill to prohibit oil and gas leasing on the Outer Continental Shelf off the coast of New England.,2019-05-02,s1296,116
s1147-116,"A bill to amend the Federal Election Campaign Act of 1971 to provide for additional disclosure requirements for corporations, labor organizations, Super PACs and other entities, and for other purposes.",2019-04-11,s1147,116
s1033-116,"A bill to amend the Public Health Service Act to establish a public health insurance option, and for other purposes.",2019-04-04,s1033,116
s933-116,"A bill to improve data collection and monitoring of the Great Lakes, oceans, bays, estuaries, and coasts, and for other purposes.",2019-03-28,s933,116
s856-116,A bill to allow State manufacturing extension partnerships to award grants to small- and medium-sized manufacturers for the purpose of training new workers to replace departing experienced workers.,2019-03-25,s856,116
s779-116,"A bill to end offshore corporate tax avoidance, and for other purposes.",2019-03-13,s779,116
s780-116,"A bill to amend the Internal Revenue Code of 1986 to provide for current year inclusion of net CFC tested income, and for other purposes.",2019-03-13,s780,116
s578-116,A bill to amend title II of the Social Security Act to eliminate the five-month waiting period for disability insurance benefits under such title for individuals with amyotrophic lateral sclerosis.,2019-02-27,s578,116
s403-116,"A bill to encourage the research and use of innovative materials and associated techniques in the construction and preservation of the domestic transportation and water infrastructure system, and for other purposes.",2019-02-07,s403,116
s259-116,"A bill to impose criminal sanctions on certain persons involved in international doping fraud conspiracies, to provide restitution for victims of such conspiracies, and to require sharing of information with the United States Anti-Doping Agency to assist its fight against doping, and for other purposes.",2019-01-29,s259,116
s232-116,"A bill to amend the Ethics in Government Act of 1978 to require individuals nominated or appointed to Senate-confirmed positions or to positions of a confidential or policymaking character to disclose certain types of contributions made or solicited by, or at the request of, the individuals.",2019-01-28,s232,116
sres726-116,A resolution honoring Rosalynn Smith Carter's 50 years of mental health advocacy.,2020-09-29,sres726,116
s4024-116,A bill to establish in the Cybersecurity and Infrastructure Security Agency of the Department of Homeland Security a Cybersecurity Advisory Committee.,2020-06-22,s4024,116
s3599-116,A bill to enhance our Nation's nurse and physician workforce during the COVID-19 crisis by recapturing unused immigrant visas.,2020-05-05,s3599,116
s3098-116,A bill to redesignate the Jimmy Carter National Historic Site as the 'Jimmy Carter National Historical Park'.,2019-12-18,s3098,116
s2025-116,"A bill to amend the Motor Carrier Safety Improvement Act of 1999 to modify the definition of agricultural commodities, and for other purposes.",2019-06-27,s2025,116
s1898-116,"A bill to amend title 5, United States Code, to provide for an alternative removal for performance or misconduct for Federal employees.",2019-06-19,s1898,116
s1807-116,A bill to improve the funding process.,2019-06-12,s1807,116
s1677-116,A bill to amend the Internal Revenue Code of 1986 to provide authority to postpone certain deadlines by reason of State declared disasters or emergencies.,2019-05-23,s1677,116
sres182-116,A resolution recognizing the duty of the Senate to condemn Modern Monetary Theory and recognizing Modern Monetary Theory would lead to higher deficits and higher inflation.,2019-05-01,sres182,116
s1078-116,"A bill to amend title 44, United States Code, to modernize the Federal Register, and for other purposes.",2019-04-09,s1078,116
sres78-116,A resolution recognizing the national debt as a threat to national security.,2019-02-26,sres78,116
s572-116,A bill to provide for additional supplemental appropriations for disaster relief.,2019-02-26,s572,116
s122-116,"A bill to amend title 18, United States Code, to provide for penalties for the sale of any Purple Heart awarded to a member of the Armed Forces.",2019-01-15,s122,116
s1215-118,"A bill to require assessments of opportunities to install and maintain floating photovoltaic solar panels at Bureau of Reclamation and Corps of Engineers projects, and for other purposes.",2023-04-19,s1215,118
s1075-118,"A bill to direct the Secretary of Health and Human Services, acting through the Administrator of the Health Resources and Services Administration, to establish a grant program to be known as the Mental Health Licensure Portability Program to award grants to eligible entities, and for other purposes.",2023-03-30,s1075,118
s907-118,"A bill to amend the Federal Meat Inspection Act to exempt from inspection the slaughter of animals and the preparation of carcasses conducted at a custom slaughter facility, and for other purposes.",2023-03-22,s907,118
s176-118,A bill to amend the Agricultural Trade Act of 1978 to extend and expand the Market Access Program and the Foreign Market Development Cooperator Program.,2023-01-31,s176,118
s5067-117,"A bill to provide that no Federal funds shall be appropriated, awarded, or granted to the Monterey Bay Aquarium.",2022-10-11,s5067,117
s4941-117,A bill to amend the Agricultural Trade Act of 1978 to extend and expand the Market Access Program and the Foreign Market Development Cooperator Program.,2022-09-22,s4941,117
s4905-117,"A bill to amend the Employee Retirement Income Security Act of 1974, title XXVII of the Public Health Service Act, and the Internal Revenue Code of 1986 to require group health plans and health insurance issuers offering group or individual health insurance coverage to provide for 3 primary care visits and 3 behavioral health care visits without application of any cost-sharing requirement.",2022-09-21,s4905,117
sres778-117,A resolution supporting the designation of September 2022 as 'National Recovery Month'.,2022-09-20,sres778,117
sres742-117,"A resolution designating September 25, 2022, as 'National Lobster Day'.",2022-08-03,sres742,117
s4332-117,"A bill to amend the Public Health Service Act to direct the Secretary of Health and Human Services, acting through the Director of the Centers for Disease Control and Prevention, to support research and programmatic efforts that will build on previous research on the effects of adverse childhood experiences.",2022-05-26,s4332,117
s4291-117,"A bill to amend the Internal Revenue Code of 1986 to increase the standard charitable mileage rate for delivery of meals to elderly, disabled, frail, and at-risk individuals.",2022-05-24,s4291,117
s4222-117,"A bill to establish the St. Croix National Heritage Area, and for other purposes.",2022-05-16,s4222,117
sres607-117,"A resolution supporting the designation of the week of May 1, 2022, as 'Children's Mental Health Awareness Week' and May 5, 2022, as 'Children's Mental Health Awareness Day'.",2022-05-02,sres607,117
sres601-117,A resolution celebrating the 150th anniversary of Arbor Day.,2022-04-28,sres601,117
s4058-117,"A bill to direct the Secretary of Health and Human Services, acting through the Administrator of the Health Resources and Services Administration, to establish a grant program to be known as the Mental Health Licensure Portability Program to award grants to eligible entities, and for other purposes.",2022-04-07,s4058,117
sres582-117,"A resolution designating the week of April 16 through April 24, 2022, as 'National Park Week'.",2022-04-06,sres582,117
s3932-117,"A bill to establish the Downeast Maine National Heritage Area in the State of Maine, and for other purposes.",2022-03-28,s3932,117
sres389-117,A resolution supporting the designation of September 2021 as 'National Alcohol and Drug Addiction Recovery Month'.,2021-09-28,sres389,117
sres335-117,"A resolution designating September 25, 2021, as 'National Lobster Day'.",2021-08-03,sres335,117
s2491-117,"A bill to amend the Homeland Security Act of 2002 to establish the National Cyber Resilience Assistance Fund, to improve the ability of the Federal Government to assist in enhancing critical infrastructure cyber resilience, to improve security in the national cyber ecosystem, to address Systemically Important Critical Infrastructure, and for other purposes.",2021-07-27,s2491,117
s2317-117,A bill to provide for the establishment of security standards for international research in key technology focus areas.,2021-07-13,s2317,117
s2310-117,"A bill to require the Secretary of Energy to conduct a study regarding codes and standards for use of energy storage systems across sectors and demonstrate certain second-life applications of electric vehicle batteries, and for other purposes.",2021-07-12,s2310,117
s2001-117,"A bill to amend the Federal Meat Inspection Act to exempt from inspection the slaughter of animals and the preparation of carcasses conducted at a custom slaughter facility, and for other purposes.",2021-06-10,s2001,117
s1981-117,"A bill to amend the Internal Revenue Code of 1986 to modify rules relating to donor advised funds, and for other purposes.",2021-06-09,s1981,117
s1668-117,"A bill to establish a competitive grant program to support the development, implementation, and evaluation of successful educator and school leader professional development programs on family engagement that will increase the capacity of educators and school leaders to work with families to develop and support the social-emotional learning of children.",2021-05-18,s1668,117
sres193-117,"A resolution supporting the designation of the week of May 2, 2021, as 'Children's Mental Health Awareness Week' and the day of May 9, 2021, as 'Children's Mental Health Awareness Day'.",2021-04-29,sres193,117
sres194-117,A resolution celebrating the 149th anniversary of Arbor Day.,2021-04-29,sres194,117
